race_id,driver_id,start_pos,gap_to_pole,cs_driver_results_missing,cs_driver_standing,cs_driver_podium_rate,csa_pos_change,csa_finish_pos,p3s_driver_results_missing,p3sa_pos_change_same_circuit,p3sa_finish_pos_same_circuit,cs_const_results_missing,cs_const_standing,cs_const_podium_rate,circuit_avg_pos_change,finish_pos
18,1,1,0.0,1,0,0.0,0.0,0.0,0,1.0,3.0,1,0,0.0,-1.24,1
18,2,5,0.075,1,0,0.0,0.0,0.0,0,1.5,4.0,1,0,0.0,0.67,2
18,3,7,0.198,1,0,0.0,0.0,0.0,0,5.0,7.0,1,0,0.0,-0.6,3
18,4,11,0.227,1,0,0.0,0.0,0.0,0,4.0,2.0,1,0,0.0,3.93,4
18,5,3,0.06,1,0,0.0,0.0,0.0,0,3.0,10.0,1,0,0.0,-0.95,5
18,6,13,0.278,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,3.93,6
18,7,17,0.513,1,0,0.0,0.0,0.0,1,0.0,0.0,1,0,0.0,7.1,7
18,8,15,0.216,1,0,0.0,0.0,0.0,0,1.33,3.67,1,0,0.0,6.17,8
19,8,2,0.0,0,8,0.0,7.0,8.0,0,-1.5,6.0,0,6,0.0,-1.93,1
19,9,4,0.114,1,0,0.0,0.0,0.0,0,-11.0,18.0,0,3,1.0,0.38,2
19,5,8,0.104,0,5,0.0,-2.0,5.0,0,3.0,8.0,0,1,0.5,0.46,3
19,15,3,0.141,1,0,0.0,0.0,0.0,0,0.33,6.0,1,0,0.0,-0.58,4
19,1,9,0.08,0,1,1.0,0.0,1.0,0,2.0,2.0,0,1,0.5,0.33,5
19,2,5,0.084,0,2,1.0,3.0,2.0,0,4.0,3.5,0,3,1.0,-0.83,6
19,17,6,0.142,1,0,0.0,0.0,0.0,0,0.0,10.0,1,0,0.0,-0.45,7
19,4,7,0.174,0,4,0.0,7.0,4.0,0,2.0,1.33,0,4,0.0,-1.47,8
19,14,12,0.223,1,0,0.0,0.0,0.0,0,2.0,6.0,1,0,0.0,1.5,9
19,18,11,0.187,1,0,0.0,0.0,0.0,0,1.0,7.5,1,0,0.0,2.0,10
19,12,13,0.251,1,0,0.0,0.0,0.0,1,0.0,0.0,0,4,0.0,2.36,11
19,21,17,0.375,1,0,0.0,0.0,0.0,0,3.0,3.5,1,0,0.0,5.69,12
19,22,14,0.262,1,0,0.0,0.0,0.0,0,10.5,10.5,1,0,0.0,3.91,13
19,3,16,0.271,0,3,1.0,4.0,3.0,1,0.0,0.0,0,2,0.5,3.56,14
19,19,21,0.602,1,0,0.0,0.0,0.0,0,2.0,16.0,1,0,0.0,7.38,15
19,11,19,0.53,1,0,0.0,0.0,0.0,0,2.0,13.5,1,0,0.0,5.5,16
19,6,22,0.402,0,6,0.0,7.0,6.0,1,0.0,0.0,0,2,0.5,8.38,17
20,13,2,0.0,1,0,0.0,0.0,0.0,0,-0.67,5.67,0,3,0.5,-1.54,1
20,8,4,0.164,0,2,0.5,4.0,4.5,0,3.0,3.0,0,3,0.5,-1.08,2
20,9,1,0.123,0,5,1.0,2.0,2.0,0,0.0,6.0,0,2,0.67,-1.53,3
20,2,6,0.159,0,3,0.5,1.0,4.0,0,-0.5,8.0,0,2,0.67,-3.07,4
20,5,5,0.117,0,4,0.5,1.5,4.0,0,3.0,9.0,0,1,0.5,0.13,5
20,15,7,0.214,0,8,0.0,-1.0,4.0,0,0.33,8.33,0,6,0.0,0.54,6
20,17,11,0.261,0,11,0.0,-1.0,7.0,0,0.0,6.0,0,7,0.0,2.09,7
20,3,8,0.22,0,6,0.5,3.0,8.5,0,2.5,8.5,0,4,0.25,-0.85,8
20,10,13,0.295,1,0,0.0,0.0,0.0,1,0.0,0.0,0,6,0.0,1.38,9
20,4,10,0.255,0,7,0.0,3.0,6.0,0,0.67,2.33,0,5,0.0,0.92,10
20,22,12,0.291,0,16,0.0,1.0,13.0,0,1.33,12.33,0,9,0.0,1.69,11
20,21,18,0.51,0,15,0.0,5.0,12.0,0,-1.0,8.0,0,10,0.0,4.15,12
20,1,3,0.162,0,1,0.5,2.0,3.0,0,0.0,2.0,0,1,0.5,-1.64,13
20,6,16,0.387,0,9,0.0,6.0,11.5,1,0.0,0.0,0,4,0.25,3.18,14
20,7,15,0.381,0,10,0.0,10.0,7.0,1,0.0,0.0,0,8,0.0,1.58,15
20,19,21,0.651,0,17,0.0,6.0,15.0,0,-3.0,16.0,0,11,0.0,5.4,16
20,11,22,1.0,0,18,0.0,3.0,16.0,0,2.0,18.0,0,11,0.0,8.0,17
20,14,17,0.495,0,12,0.0,3.0,9.0,0,4.5,9.0,0,7,0.0,3.7,18
20,16,20,0.586,1,0,0.0,0.0,0.0,0,5.0,15.0,0,10,0.0,3.73,19
21,8,1,0.04,0,1,0.67,3.33,3.67,0,2.0,3.0,0,2,0.75,-0.53,1
21,13,3,0.0,0,6,1.0,1.0,1.0,0,-0.33,5.33,0,2,0.75,-0.72,2
21,1,5,0.083,0,3,0.33,-2.0,6.33,0,2.0,2.0,0,3,0.33,0.41,3
21,9,4,0.004,0,4,1.0,0.0,2.5,0,1.0,4.0,0,1,0.6,0.69,4
21,17,7,0.137,0,10,0.0,1.5,7.0,0,-1.0,7.5,0,7,0.0,0.56,5
21,18,13,0.215,0,15,0.0,1.0,10.0,0,2.0,9.0,0,9,0.0,2.39,6
21,6,12,0.183,0,11,0.0,4.67,12.33,1,0.0,0.0,0,4,0.17,2.43,7
21,15,8,0.111,0,7,0.0,0.0,5.0,0,-0.5,6.5,0,5,0.0,0.19,8
21,2,9,0.079,0,2,0.33,1.33,4.0,0,4.5,9.0,0,1,0.6,1.06,9
21,21,19,0.663,0,18,0.0,5.5,12.0,0,0.33,5.67,0,10,0.0,5.56,10
21,10,14,0.222,0,14,0.0,4.0,9.0,1,0.0,0.0,0,5,0.0,2.93,11
21,14,17,0.421,0,13,0.0,1.0,13.5,0,2.5,6.5,0,7,0.0,4.0,12
21,11,22,1.0,0,20,0.0,4.0,16.5,0,3.5,12.5,0,11,0.0,5.89,13
22,13,1,0.0,0,4,1.0,1.0,1.5,0,0.0,1.0,0,1,0.83,-0.57,1
22,1,3,0.05,0,2,0.5,-1.0,5.5,0,-3.0,5.0,0,3,0.43,0.4,2
22,8,4,0.014,0,1,0.75,2.5,3.0,0,0.5,1.5,0,1,0.83,0.71,3
22,9,5,0.034,0,3,0.67,0.0,3.0,0,-3.5,10.0,0,2,0.43,-1.14,4
22,2,9,0.281,0,5,0.25,1.0,5.25,0,-3.5,9.0,0,2,0.43,-1.0,5
22,4,7,0.133,0,10,0.0,2.0,7.33,0,1.0,2.33,0,7,0.0,0.6,6
22,17,6,0.119,0,8,0.0,1.67,6.33,0,-1.0,10.0,0,6,0.0,0.17,7
22,3,11,0.257,0,9,0.33,2.0,8.33,0,1.0,7.0,0,4,0.14,0.71,8
22,14,10,0.133,0,15,0.0,2.33,13.0,0,3.0,10.67,0,6,0.0,0.71,9
22,15,8,0.177,0,7,0.0,0.0,6.0,0,-1.67,10.33,0,5,0.0,-1.67,10
22,18,13,0.329,0,12,0.0,4.0,8.0,0,6.0,7.33,0,8,0.0,4.17,11
22,5,2,0.075,0,6,0.33,1.0,4.33,0,1.0,6.0,0,3,0.43,-2.0,12
22,10,15,0.156,0,14,0.0,3.5,10.0,1,0.0,0.0,0,5,0.0,1.67,13
22,22,12,0.309,0,17,0.0,1.0,12.0,0,3.67,11.67,0,8,0.0,1.5,14
22,12,17,0.397,0,18,0.0,2.0,11.0,1,0.0,0.0,0,7,0.0,1.17,15
22,16,19,0.588,0,21,0.0,1.0,19.0,0,-2.0,21.0,0,10,0.0,0.67,16
22,20,14,0.358,1,0,0.0,0.0,0.0,0,-1.0,19.0,0,9,0.0,-1.0,17
23,1,3,0.078,0,3,0.6,-0.6,4.8,0,0.0,2.0,0,3,0.44,0.33,1
23,9,5,0.137,0,4,0.5,0.25,3.25,0,3.0,5.0,0,2,0.33,-0.56,2
23,13,1,0.0,0,2,1.0,0.67,1.33,0,1.0,6.0,0,1,0.88,-0.56,3
23,17,9,0.234,0,7,0.0,1.0,6.5,0,0.0,3.0,0,5,0.0,1.93,4
23,20,19,0.68,0,22,0.0,-3.0,17.0,1,0.0,0.0,0,9,0.0,7.0,5
23,22,14,0.405,0,17,0.0,0.0,12.67,0,0.67,7.33,0,8,0.0,4.44,6
23,6,13,0.505,0,11,0.0,4.75,11.0,1,0.0,0.0,0,4,0.12,3.36,7
23,5,4,0.068,0,6,0.25,-1.75,6.25,0,2.0,13.0,0,3,0.44,-0.67,8
23,8,2,0.108,0,1,0.8,2.2,3.0,0,4.0,4.5,0,1,0.88,-0.89,9
23,4,7,0.264,0,8,0.0,1.75,7.0,0,-0.67,2.0,0,7,0.0,-1.07,10
23,18,11,0.365,0,12,0.0,3.33,9.0,0,0.5,11.0,0,8,0.0,1.91,11
23,10,10,0.294,0,15,0.0,3.0,11.0,1,0.0,0.0,0,6,0.0,1.33,12
23,15,8,0.18,0,9,0.0,-0.5,7.0,0,-5.67,14.0,0,6,0.0,-0.15,13
23,2,12,0.496,0,5,0.2,1.6,5.2,0,4.33,5.0,0,2,0.33,1.69,14
24,9,2,0.084,0,4,0.6,0.8,3.0,1,0.0,0.0,0,3,0.36,-1.0,1
24,2,8,0.131,0,5,0.17,1.0,6.67,0,3.5,4.5,0,3,0.36,1.36,2
24,14,13,0.189,0,16,0.0,2.0,12.0,0,9.5,7.5,0,5,0.0,3.5,3
24,10,11,0.169,0,17,0.0,1.75,11.25,1,0.0,0.0,0,6,0.0,1.79,4
24,13,6,0.048,0,3,1.0,0.0,1.75,0,6.0,4.5,0,1,0.8,0.06,5
24,15,14,0.17,0,9,0.0,-1.4,8.2,0,-2.0,6.0,0,6,0.0,2.2,6
24,22,9,0.167,0,14,0.0,2.0,11.0,0,1.0,12.0,0,9,0.0,1.73,7
24,5,7,0.057,0,6,0.2,-2.2,6.6,0,18.0,4.0,0,2,0.45,1.64,9
24,3,5,0.148,0,10,0.25,2.25,8.25,0,-3.0,10.0,0,4,0.11,-1.36,10
24,18,20,1.0,0,13,0.0,2.5,9.5,0,-1.0,9.0,0,9,0.0,7.43,11
24,17,10,0.092,0,7,0.0,1.8,6.0,0,3.33,8.67,0,5,0.0,0.47,12
24,7,18,0.302,0,15,0.0,5.0,11.0,1,0.0,0.0,0,8,0.0,4.8,13
25,13,2,0.0,0,3,0.8,0.2,2.4,0,-1.0,2.5,0,1,0.73,-0.25,1
25,8,1,0.042,0,4,0.67,0.67,4.0,0,4.67,2.67,0,1,0.73,-0.56,2
25,15,4,0.131,0,8,0.0,0.17,7.83,0,-3.0,5.0,0,5,0.0,-1.14,3
25,5,10,0.239,0,6,0.17,-2.17,7.0,0,-9.0,15.0,0,3,0.42,4.33,4
25,9,5,0.258,0,1,0.67,0.83,2.67,0,0.0,4.0,0,2,0.46,0.0,5
25,17,6,0.18,0,7,0.0,1.17,7.0,0,1.0,12.0,0,4,0.09,-2.29,6
25,12,9,0.29,0,19,0.0,2.0,13.0,1,0.0,0.0,0,7,0.0,2.0,7
25,4,3,0.178,0,9,0.0,0.8,7.6,0,1.33,3.33,0,7,0.0,-0.67,8
25,14,7,0.245,0,12,0.2,3.6,10.2,0,2.67,10.67,0,4,0.09,-0.2,9
25,1,13,0.105,0,2,0.67,-0.17,4.17,0,-1.0,3.0,0,3,0.42,3.67,10
25,10,8,0.208,0,13,0.0,2.8,9.8,1,0.0,0.0,0,5,0.0,0.17,11
25,20,12,0.308,0,14,0.0,5.5,11.0,1,0.0,0.0,0,9,0.0,1.71,12
25,2,11,0.296,0,5,0.29,1.71,6.0,0,1.67,9.0,0,2,0.46,1.44,13
25,22,20,0.508,0,15,0.0,2.0,10.2,0,-1.0,10.0,0,8,0.0,6.25,14
25,6,15,0.474,0,11,0.0,5.0,10.2,1,0.0,0.0,0,6,0.1,2.0,15
25,3,19,0.413,0,10,0.2,0.8,8.6,0,2.0,11.5,0,6,0.1,5.0,16
25,7,14,0.397,0,17,0.0,5.0,11.67,1,0.0,0.0,0,9,0.0,1.0,17
25,21,17,0.757,0,18,0.0,6.67,11.33,0,0.0,6.0,0,10,0.0,3.0,18
25,16,18,0.789,0,22,0.0,2.0,17.5,0,4.0,17.0,0,10,0.0,3.5,19
26,1,4,0.0,0,4,0.57,0.29,5.0,0,-2.0,3.0,0,3,0.36,-0.32,1
26,2,5,0.07,0,5,0.25,1.25,6.88,0,2.33,8.33,0,2,0.4,0.16,2
26,22,16,0.524,0,15,0.0,2.67,10.83,0,-0.33,8.67,0,8,0.0,4.8,3
26,8,3,0.115,0,3,0.71,0.43,3.71,0,3.0,2.33,0,1,0.77,-0.95,4
26,5,1,0.016,0,6,0.14,-1.0,6.57,0,0.0,7.0,0,3,0.36,-1.21,5
26,4,6,0.121,0,9,0.0,-0.17,7.67,0,0.0,1.67,0,7,0.0,-0.84,6
26,15,14,0.282,0,7,0.14,0.29,7.14,0,-5.0,9.0,0,5,0.08,3.56,7
26,6,15,0.418,0,11,0.0,4.17,11.0,1,0.0,0.0,0,6,0.08,2.73,8
26,3,20,0.566,0,10,0.17,1.17,9.83,0,4.0,10.5,0,6,0.08,6.08,9
26,17,2,0.046,0,8,0.0,1.0,6.86,0,0.0,11.0,0,4,0.08,-1.63,10
26,7,13,0.264,0,18,0.0,3.0,13.0,1,0.0,0.0,0,9,0.0,2.41,11
26,10,12,0.196,0,13,0.0,1.83,10.0,1,0.0,0.0,0,5,0.08,2.61,12
26,13,9,0.146,0,1,0.83,0.33,2.17,0,1.33,6.67,0,1,0.77,0.76,13
27,1,1,0.0,0,1,0.62,0.62,4.5,1,0.0,0.0,0,3,0.38,-1.25,1
27,12,17,0.547,0,18,0.0,2.0,11.0,1,0.0,0.0,0,7,0.0,6.69,2
27,13,2,0.05,0,2,0.71,-0.29,3.71,0,3.0,5.0,0,1,0.67,-0.92,3
27,2,12,0.337,0,5,0.33,1.44,6.33,0,-4.0,11.0,0,2,0.44,4.8,4
27,5,3,0.087,0,6,0.12,-1.38,6.38,1,0.0,0.0,0,3,0.38,-0.45,5
27,8,6,0.119,0,3,0.62,0.25,3.75,0,-2.0,3.0,0,1,0.67,-0.25,6
27,9,7,0.174,0,4,0.57,0.71,3.0,1,0.0,0.0,0,2,0.44,-0.25,7
27,20,9,0.282,0,15,0.0,3.67,11.33,1,0.0,0.0,0,9,0.0,-0.27,8
27,15,4,0.179,0,7,0.12,1.12,7.12,0,4.0,10.5,0,4,0.07,-1.71,9
27,3,13,0.355,0,11,0.14,2.57,9.71,1,0.0,0.0,0,6,0.07,3.36,10
27,4,5,0.117,0,9,0.0,-0.14,7.43,0,2.0,3.0,0,7,0.0,-2.64,11
27,7,15,0.433,0,17,0.0,2.8,12.6,1,0.0,0.0,0,9,0.0,3.89,12
27,14,10,0.253,0,13,0.17,2.67,10.0,0,1.5,9.0,0,5,0.07,1.6,13
27,6,16,0.51,0,12,0.0,4.57,10.57,1,0.0,0.0,0,6,0.07,3.36,14
27,16,19,0.708,0,22,0.0,1.0,18.0,1,0.0,0.0,0,10,0.0,2.43,15
27,21,20,0.814,0,19,0.0,4.75,13.0,0,-0.5,5.0,0,10,0.0,7.11,16
27,18,14,0.379,0,16,0.0,3.8,9.8,0,-0.5,3.5,0,8,0.08,3.55,17
28,5,2,0.125,0,6,0.11,-1.44,6.22,0,3.0,8.0,0,3,0.39,-1.71,1
28,10,5,0.054,0,16,0.0,1.57,10.29,1,0.0,0.0,0,4,0.06,1.08,2
28,8,6,0.145,0,3,0.56,0.22,4.0,0,2.0,1.5,0,1,0.65,-0.06,3
28,4,7,0.226,0,9,0.0,-0.88,7.88,0,-1.5,7.5,0,6,0.08,0.87,4
28,1,1,0.093,0,1,0.67,0.56,4.11,0,0.0,1.0,0,3,0.39,-1.06,5
28,12,10,0.322,0,11,0.25,5.25,8.75,1,0.0,0.0,0,6,0.08,0.94,6
28,15,9,0.127,0,7,0.11,0.44,7.33,0,-2.33,8.67,0,4,0.06,1.86,7
28,9,4,0.214,0,4,0.5,0.62,3.5,0,2.0,5.0,0,2,0.39,-1.05,8
28,17,8,0.296,0,8,0.0,-0.12,7.25,0,4.5,8.0,0,5,0.07,-1.73,9
28,2,15,0.599,0,5,0.3,2.1,6.1,0,4.0,4.0,0,2,0.39,2.64,10
28,14,13,0.434,0,14,0.14,1.86,10.43,0,3.0,8.0,0,5,0.07,2.64,11
28,18,12,0.383,0,17,0.0,2.67,11.0,0,8.0,3.0,0,8,0.08,2.06,12
28,6,16,0.611,0,13,0.0,4.25,11.0,1,0.0,0.0,0,7,0.06,4.43,13
28,3,14,0.509,0,12,0.12,2.62,9.75,0,-3.0,7.0,0,7,0.06,2.73,14
28,21,18,0.788,0,19,0.0,4.6,13.6,0,0.5,10.5,0,10,0.0,3.38,15
28,22,17,0.685,0,10,0.14,4.14,9.71,0,-1.33,10.67,0,8,0.08,2.67,16
28,13,3,0.0,0,2,0.75,-0.38,3.62,0,-1.33,11.33,0,1,0.65,-1.72,17
28,7,19,0.476,0,18,0.0,2.83,12.5,1,0.0,0.0,0,9,0.0,4.08,18
29,13,1,0.006,0,3,0.67,-1.89,5.11,1,0.0,0.0,0,1,0.63,-0.25,1
29,1,2,0.039,0,1,0.6,0.1,4.2,1,0.0,0.0,0,2,0.4,-5.0,2
29,9,3,0.072,0,4,0.44,0.11,4.0,1,0.0,0.0,0,3,0.35,-1.4,3
29,5,5,0.096,0,6,0.2,-1.2,5.7,1,0.0,0.0,0,2,0.4,-0.8,4
29,15,7,0.03,0,7,0.1,0.6,7.3,1,0.0,0.0,0,4,0.11,2.0,5
29,20,6,0.0,0,16,0.0,3.0,10.5,1,0.0,0.0,0,9,0.0,0.8,6
29,10,13,0.226,0,10,0.12,1.75,9.25,1,0.0,0.0,0,4,0.11,2.0,7
29,3,9,0.17,0,13,0.11,2.33,10.22,1,0.0,0.0,0,7,0.06,1.2,8
29,2,8,0.006,0,5,0.27,2.36,6.45,1,0.0,0.0,0,3,0.35,-1.25,9
29,7,10,0.198,0,18,0.0,2.57,13.29,1,0.0,0.0,0,9,0.0,0.4,10
29,12,15,0.31,0,11,0.2,5.0,8.2,1,0.0,0.0,0,5,0.07,1.75,11
29,17,14,0.231,0,9,0.0,-0.22,7.44,1,0.0,0.0,0,6,0.06,0.2,12
29,18,16,0.357,0,17,0.0,2.29,11.14,1,0.0,0.0,0,8,0.07,3.6,13
29,21,18,0.49,0,19,0.0,4.33,13.83,1,0.0,0.0,0,10,0.0,7.5,14
29,6,11,0.202,0,14,0.0,4.11,11.22,1,0.0,0.0,0,7,0.06,0.8,15
29,22,19,0.677,0,12,0.12,3.75,10.5,1,0.0,0.0,0,8,0.07,3.8,16
29,14,17,0.479,0,15,0.12,1.88,10.5,1,0.0,0.0,0,6,0.06,2.6,17
30,13,2,0.083,0,2,0.7,-1.7,4.7,0,-1.5,6.0,0,1,0.65,-1.69,1
30,2,5,0.064,0,6,0.25,2.08,6.67,0,1.0,5.0,0,3,0.36,0.56,2
30,1,1,0.012,0,1,0.64,0.09,4.0,0,0.0,4.0,0,2,0.41,-1.93,3
30,4,6,0.106,0,8,0.0,-0.44,7.44,0,1.0,2.5,0,5,0.07,1.08,4
30,20,10,0.179,0,14,0.0,2.4,9.6,1,0.0,0.0,0,9,0.0,3.14,5
30,9,8,0.107,0,4,0.5,0.1,3.9,0,5.0,9.0,0,3,0.36,1.67,6
30,7,9,0.118,0,18,0.0,2.25,12.88,1,0.0,0.0,0,9,0.0,0.93,7
30,17,7,0.181,0,9,0.0,0.0,7.9,0,2.5,5.5,0,6,0.05,-0.58,8
30,10,13,0.224,0,10,0.11,2.22,9.0,1,0.0,0.0,0,4,0.1,4.0,9
30,5,3,0.0,0,5,0.18,-1.0,5.55,0,1.0,8.0,0,2,0.41,-1.6,10
30,14,14,0.229,0,16,0.11,1.67,11.22,1,0.0,0.0,0,6,0.05,3.29,11
30,3,15,0.325,0,13,0.1,2.2,10.0,0,-1.0,6.0,0,7,0.05,2.56,12
30,16,18,0.511,0,21,0.0,1.75,17.25,0,5.0,14.0,0,10,0.0,5.14,13
30,6,19,0.521,0,15,0.0,3.3,11.6,1,0.0,0.0,0,7,0.05,6.31,14
30,18,17,0.508,0,17,0.0,2.38,11.38,0,5.0,3.0,0,8,0.06,4.79,15
30,15,11,0.213,0,7,0.09,0.73,7.09,0,-3.0,11.0,0,4,0.1,0.18,16
30,21,20,0.563,0,19,0.0,4.29,13.86,1,0.0,0.0,0,10,0.0,5.62,17
30,8,4,0.061,0,3,0.6,0.5,3.9,0,0.5,1.0,0,1,0.65,-3.19,18
31,20,1,0.053,0,12,0.0,2.83,8.83,0,-2.0,18.0,0,8,0.0,-0.82,1
31,5,2,0.0,0,6,0.17,-1.5,5.92,0,0.0,7.0,0,2,0.42,-1.0,2
31,9,11,0.072,0,3,0.45,0.27,4.09,0,2.0,4.0,0,3,0.38,0.13,3
31,4,8,0.231,0,8,0.0,-0.2,7.1,0,0.0,1.5,0,5,0.06,1.5,4
31,2,10,0.105,0,5,0.31,2.15,6.31,0,-2.5,6.0,0,3,0.38,1.93,5
31,13,6,0.069,0,2,0.73,-1.45,4.36,0,0.5,9.0,0,1,0.64,0.56,6
31,1,15,0.038,0,1,0.67,-0.08,3.92,0,0.0,2.0,0,2,0.42,3.31,7
31,17,3,0.168,0,9,0.0,-0.09,7.91,0,3.67,11.0,0,6,0.05,-0.82,8
31,8,14,0.16,0,4,0.55,-0.82,5.18,0,2.67,3.0,0,1,0.64,2.0,9
31,12,17,0.302,0,11,0.17,4.83,8.67,1,0.0,0.0,0,5,0.06,4.0,10
31,10,9,0.111,0,10,0.1,2.4,9.0,1,0.0,0.0,0,4,0.09,0.25,11
31,6,18,0.307,0,15,0.0,3.45,11.82,1,0.0,0.0,0,7,0.05,4.14,12
31,15,7,0.147,0,7,0.08,0.25,7.83,0,0.67,7.67,0,4,0.09,0.0,13
31,3,5,0.058,0,14,0.09,2.27,10.18,0,2.0,6.0,0,7,0.05,-1.25,14
31,18,19,0.382,0,18,0.0,2.33,11.78,0,-1.0,7.0,0,9,0.06,4.2,15
31,14,13,0.271,0,16,0.1,1.8,11.2,0,-1.5,13.5,0,6,0.05,0.5,16
31,22,16,0.276,0,13,0.11,3.67,11.11,0,-0.33,9.33,0,9,0.06,4.94,17
31,7,4,0.07,0,17,0.0,2.22,12.22,1,0.0,0.0,0,8,0.0,-3.38,18
31,16,20,0.47,0,20,0.0,2.4,16.4,0,2.0,19.0,0,10,0.0,6.25,19
32,4,15,0.244,0,7,0.0,0.18,6.82,1,0.0,0.0,0,5,0.06,5.78,1
32,3,8,0.106,0,14,0.08,1.33,10.5,1,0.0,0.0,0,8,0.04,-0.11,2
32,1,2,0.124,0,1,0.62,0.54,4.15,1,0.0,0.0,0,2,0.42,-0.89,3
32,10,7,0.109,0,11,0.09,2.0,9.18,1,0.0,0.0,0,4,0.08,-0.91,4
32,20,6,0.063,0,9,0.14,2.43,7.71,1,0.0,0.0,0,6,0.06,0.17,5
32,2,9,0.129,0,5,0.29,2.36,6.21,1,0.0,0.0,0,3,0.38,1.0,6
32,14,14,0.327,0,16,0.09,1.36,11.64,1,0.0,0.0,0,7,0.04,2.9,7
32,6,10,0.207,0,15,0.0,3.67,11.83,1,0.0,0.0,0,8,0.04,0.9,8
32,18,12,0.285,0,18,0.0,2.5,12.1,1,0.0,0.0,0,9,0.05,2.89,9
32,5,5,0.049,0,6,0.23,-1.38,5.62,1,0.0,0.0,0,2,0.42,0.73,10
32,9,4,0.129,0,3,0.5,0.92,4.0,1,0.0,0.0,0,3,0.38,-1.8,11
32,7,17,0.605,0,17,0.0,0.6,12.8,1,0.0,0.0,0,6,0.06,4.27,12
32,13,1,0.0,0,2,0.67,-1.33,4.5,1,0.0,0.0,0,1,0.58,-1.3,13
32,8,3,0.056,0,4,0.5,-0.33,5.5,1,0.0,0.0,0,1,0.58,-1.4,15
33,4,4,0.203,0,7,0.08,1.33,6.33,1,0.0,0.0,0,4,0.11,0.5,1
33,9,6,0.224,0,3,0.46,0.31,4.54,0,2.0,7.0,0,3,0.36,-0.5,2
33,8,2,0.155,0,4,0.46,-1.23,6.23,0,0.0,3.0,0,2,0.54,-1.0,3
33,12,12,0.343,0,13,0.14,5.14,8.86,1,0.0,0.0,0,4,0.11,8.0,4
33,15,7,0.088,0,9,0.08,-0.23,8.23,0,0.0,13.0,0,5,0.08,2.0,5
33,20,9,0.148,0,8,0.12,2.25,7.38,1,0.0,0.0,0,6,0.05,2.5,6
33,13,5,0.0,0,2,0.62,-2.15,5.15,0,-2.0,6.0,0,2,0.54,-5.5,7
33,17,13,0.37,0,11,0.0,-0.5,7.92,1,0.0,0.0,0,7,0.04,2.5,8
33,2,16,0.537,0,5,0.27,2.4,6.2,0,-9.0,14.0,0,3,0.36,7.0,9
33,7,10,0.283,0,17,0.0,1.0,12.73,1,0.0,0.0,0,6,0.05,2.5,10
33,3,15,0.481,0,12,0.15,1.69,9.85,1,0.0,0.0,0,8,0.08,4.0,11
33,1,1,0.061,0,1,0.64,0.43,4.07,0,0.0,1.0,0,1,0.43,-5.5,12
33,22,17,0.554,0,14,0.1,3.2,11.7,0,7.0,10.0,0,9,0.05,5.5,13
33,18,18,0.63,0,18,0.0,2.55,11.82,0,-5.0,11.0,0,9,0.05,4.0,14
33,6,14,0.454,0,15,0.0,3.54,11.54,1,0.0,0.0,0,8,0.08,2.0,15
34,1,1,0.0,0,1,0.6,-0.33,4.6,1,0.0,0.0,0,2,0.41,-1.13,1
34,13,3,0.048,0,2,0.57,-2.14,5.29,0,2.5,4.5,0,1,0.54,-0.56,2
34,8,2,0.104,0,4,0.5,-1.21,6.0,0,1.0,1.5,0,1,0.54,-1.53,3
34,4,4,0.131,0,7,0.15,1.46,5.92,0,0.33,1.67,0,4,0.14,-1.0,4
34,2,9,0.116,0,5,0.25,2.69,6.38,0,1.0,7.0,0,3,0.37,0.21,5
34,9,11,0.22,0,3,0.5,0.57,4.36,0,-4.0,13.0,0,3,0.37,1.64,6
34,10,12,0.251,0,11,0.08,2.08,8.75,1,0.0,0.0,0,5,0.08,1.0,7
34,12,10,0.197,0,12,0.12,5.5,8.25,1,0.0,0.0,0,4,0.14,1.07,8
34,20,6,0.111,0,8,0.11,2.33,7.22,0,13.0,4.0,0,6,0.05,0.0,9
34,14,15,0.453,0,16,0.08,1.83,11.25,0,-0.67,8.67,0,7,0.04,1.42,10
34,22,13,0.287,0,14,0.09,3.27,11.82,0,-2.0,11.0,0,9,0.04,2.18,11
34,6,17,0.487,0,15,0.0,3.21,11.79,1,0.0,0.0,0,8,0.07,2.91,12
34,7,8,0.135,0,17,0.0,0.92,12.5,1,0.0,0.0,0,6,0.05,-1.2,13
34,17,16,0.188,0,10,0.0,-0.08,7.92,0,2.0,8.33,0,7,0.04,2.86,14
34,3,14,0.321,0,13,0.14,1.86,9.93,0,1.5,13.5,0,8,0.07,2.38,15
34,18,18,0.535,0,18,0.0,2.67,12.0,0,0.33,5.67,0,9,0.04,4.0,16
34,21,20,0.709,0,19,0.0,4.12,14.25,0,1.33,6.0,0,10,0.0,3.42,17
35,13,1,0.025,0,2,0.6,-1.93,5.07,0,-1.33,4.67,0,1,0.57,-1.17,1
35,4,6,0.131,0,6,0.14,1.36,5.79,0,0.33,2.67,0,4,0.13,-1.0,2
35,8,3,0.074,0,4,0.53,-1.2,5.8,0,0.67,2.67,0,1,0.57,-0.41,3
35,20,7,0.031,0,8,0.1,1.8,7.4,1,0.0,0.0,0,6,0.04,0.94,4
35,1,4,0.036,0,1,0.62,-0.31,4.38,0,-5.0,7.0,0,2,0.43,-0.11,5
